117.80499643611483, -259.81161695447395
661.0242125562459, -262.9513343799058
1190.272123419757, -262.9513343799058
1886.650953503322, -262.9513343799058
2527.319477180202, -262.9513343799058
3195.843154060425, -262.9513343799058
4059.352903364046, -262.9513343799058
4950.717805871009, -262.9513343799058
5897.705557474757, -256.6718995290421
6761.215306778378, -256.6718995290421
7903.189130805526, -250.39246467817884
8878.032035612616, -244.11302982731536
9741.366870296437, -231.5541601255884
10521.179974025177, -222.1350078492933
11579.369695167545, -200.15698587127144
12331.109002418194, -175.03924646781775
13194.00655055251, -131.08320251177383
14000.84396304054, -62.009419152275996
14640.375541688716, 19.62323390894835
15224.021899310397, 113.81475667189966
15834.954937621073, 248.82260596546314
16390.177669525066, 383.83045525902685
16917.851348810364, 496.8602825745685
17279.312410629565, 543.956043956044
17488.138602344727, 550.2354788069075
17669.284555476355, 543.9560439560441
17836.634117971167, 528.2574568288856
18031.970019634166, 503.13971742543185
18283.32232828851, 456.0439560439562
18590.73477258913, 383.8304552590271
18912.118522146375, 308.47723704866576
19513.01583414596, 164.05023547880705
19987.821569596344, 72.9984301412876
20434.42232260378, 7.064364207221388
20880.891889646366, -49.45054945054926
21355.04169527249, -93.40659340659317
21912.713231853697, -134.22291993720546
22637.515687654966, -175.03924646781775
23334.15688966823, -193.87755102040796
23891.52232566478, -212.71585557299818
24253.72677461814, -218.99529042386166
